Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDC37,12.857645184136183,0.0,0.057556998,0.0,107.6938,OUT019,1985,2.0,0.0,0.0,214.3876
FDR28,13.85,1.0,0.025896485,5.0,165.021,OUT046,1997,2.0,0.0,1.0,4078.025
NCD06,13.0,0.0,0.099887103,9.0,45.906,OUT017,2007,1.0,1.0,1.0,838.908
FDV10,7.645,1.0,0.066693437,13.0,42.3112,OUT035,2004,2.0,1.0,1.0,1065.28
DRJ59,11.65,0.0,0.019356132,7.0,39.1164,OUT013,1987,0.0,2.0,1.0,308.9312
FDE51,5.925,1.0,0.161466534,4.0,45.5086,OUT010,1998,1.0,2.0,0.0,178.4344
FDC14,12.857645184136183,1.0,0.072221801,3.0,43.6454,OUT019,1985,2.0,0.0,0.0,125.8362
FDV38,19.25,0.0,0.170348551,4.0,55.7956,OUT010,1998,1.0,2.0,0.0,163.7868
NCS17,18.6,0.0,0.080829372,8.0,96.4436,OUT018,2009,1.0,2.0,2.0,2741.7644
FDP33,18.7,0.0,0.0,13.0,256.6672,OUT018,2009,1.0,2.0,2.0,3068.0064
FDO23,17.85,0.0,0.0,1.0,93.1436,OUT045,2002,1.0,1.0,1.0,2174.5028
DRH01,17.5,0.0,0.097904029,14.0,174.8738,OUT046,1997,2.0,0.0,1.0,2085.2856
NCX29,10.0,0.0,0.089291137,8.0,146.7102,OUT049,1999,1.0,0.0,1.0,3791.0652
FDV20,12.857645184136183,1.0,0.059511812,6.0,128.0678,OUT027,1985,1.0,2.0,3.0,2797.6916
DRZ11,8.85,1.0,0.113123893,14.0,122.5388,OUT018,2009,1.0,2.0,2.0,1609.9044
FDX10,12.857645184136183,1.0,0.123111453,13.0,36.9874,OUT027,1985,1.0,2.0,3.0,388.1614
FDB34,12.857645184136183,0.0,0.026480954,13.0,87.6198,OUT027,1985,1.0,2.0,3.0,2180.495
FDU02,13.35,0.0,0.102511504,4.0,230.6352,OUT046,1997,2.0,0.0,1.0,3435.528
FDK43,9.8,0.0,0.02681843,10.0,126.002,OUT013,1987,0.0,2.0,1.0,2150.534
FDA46,13.6,0.0,0.117818348,13.0,192.9136,OUT049,1999,1.0,0.0,1.0,2527.3768
FDC02,21.35,0.0,0.069102831,3.0,259.9278,OUT018,2009,1.0,2.0,2.0,6768.5228
FDL50,12.15,1.0,0.042277867,3.0,126.5046,OUT013,1987,0.0,2.0,1.0,373.5138
FDM39,6.42,0.0,0.089498926,4.0,178.1002,OUT010,1998,1.0,2.0,0.0,358.2004
NCP05,19.6,0.0,0.0,8.0,153.3024,OUT045,2002,1.0,1.0,1.0,2428.8384
FDV49,10.0,0.0,0.025879577,3.0,265.2226,OUT045,2002,1.0,1.0,1.0,5815.0972
FDL12,15.85,1.0,0.121632721,0.0,60.622,OUT046,1997,2.0,0.0,1.0,2576.646
FDS02,12.857645184136183,1.0,0.255394896,4.0,196.8794,OUT019,1985,2.0,0.0,0.0,780.3176
NCL17,7.39,0.0,0.067779712,8.0,143.8812,OUT046,1997,2.0,0.0,1.0,3134.5864
FDM40,10.195,0.0,0.159803853,5.0,141.5154,OUT013,1987,0.0,2.0,1.0,850.8924
FDR13,9.895,1.0,0.028696932,3.0,117.0492,OUT013,1987,0.0,2.0,1.0,810.9444
FDA43,10.895,0.0,0.065041581,6.0,196.3794,OUT017,2007,1.0,1.0,1.0,3121.2704
NCP18,12.15,0.0,0.028760013,9.0,151.4708,OUT017,2007,1.0,1.0,1.0,4815.0656
FDK21,7.905,0.0,0.010053105,13.0,249.0408,OUT018,2009,1.0,2.0,2.0,6258.52
NCX54,9.195,0.0,0.048157338,9.0,106.1622,OUT045,2002,1.0,1.0,1.0,2117.244
DRK35,8.365,0.0,0.071958197,7.0,38.0506,OUT049,1999,1.0,0.0,1.0,796.9626
FDY21,15.1,0.0,0.173481304,13.0,194.511,OUT046,1997,2.0,0.0,1.0,4910.275
FDI26,12.857645184136183,0.0,0.061082177,3.0,180.0344,OUT019,1985,2.0,0.0,0.0,892.172
FDM20,10.0,0.0,0.0,6.0,246.9144,OUT018,2009,1.0,2.0,2.0,3185.1872
FDV27,7.97,1.0,0.040071131,10.0,87.3514,OUT045,2002,1.0,1.0,1.0,1062.6168
FDF09,12.857645184136183,0.0,0.012090074,6.0,38.2848,OUT027,1985,1.0,2.0,3.0,484.7024
FDY40,12.857645184136183,1.0,0.15028599,5.0,51.0692,OUT019,1985,2.0,0.0,0.0,147.8076
FDY45,12.857645184136183,0.0,0.026015519,13.0,255.8356,OUT027,1985,1.0,2.0,3.0,2543.356
FDC46,17.7,0.0,0.195068226,13.0,185.4266,OUT010,1998,1.0,2.0,0.0,184.4266
FDH19,19.35,0.0,0.033082215,10.0,172.5738,OUT035,2004,2.0,1.0,1.0,4865.6664
FDZ03,13.65,1.0,0.078946455,4.0,186.024,OUT045,2002,1.0,1.0,1.0,1118.544
DRH37,17.6,0.0,0.041700756,14.0,164.8526,OUT045,2002,1.0,1.0,1.0,2302.3364
NCI17,8.645,0.0,0.143422643,8.0,95.841,OUT046,1997,2.0,0.0,1.0,2027.361
FDJ58,15.6,1.0,0.105296072,13.0,170.1764,OUT046,1997,2.0,0.0,1.0,3435.528
FDL12,15.85,1.0,0.121531501,0.0,59.222,OUT013,1987,0.0,2.0,1.0,599.22
FDH35,18.25,0.0,0.0,15.0,164.7526,OUT045,2002,1.0,1.0,1.0,4604.6728
FDG02,7.855,0.0,0.011324862,3.0,189.6188,OUT017,2007,1.0,1.0,1.0,2285.0256
NCZ18,7.825,0.0,0.186357148,9.0,254.3698,OUT049,1999,1.0,0.0,1.0,5580.7356
FDC29,8.39,1.0,0.024205661,5.0,114.0176,OUT046,1997,2.0,0.0,1.0,2290.352
FDQ10,12.85,0.0,0.033230816,13.0,172.3422,OUT049,1999,1.0,0.0,1.0,1207.0954
FDN48,12.857645184136183,0.0,0.113720344,0.0,89.9804,OUT019,1985,2.0,0.0,0.0,643.1628
FDL04,19.0,0.0,0.112556507,5.0,104.9622,OUT017,2007,1.0,1.0,1.0,1587.933
FDV25,5.905,0.0,0.0,3.0,222.5456,OUT045,2002,1.0,1.0,1.0,5305.0944
FDD58,7.76,0.0,0.059352241,13.0,101.87,OUT046,1997,2.0,0.0,1.0,1697.79
FDN04,11.8,1.0,0.014087057,5.0,180.3344,OUT046,1997,2.0,0.0,1.0,1427.4752
FDV45,16.75,0.0,0.045230944,13.0,187.9556,OUT018,2009,1.0,2.0,2.0,4693.89
NCL18,12.857645184136183,0.0,0.293417759,9.0,194.6136,OUT019,1985,2.0,0.0,0.0,583.2408
FDR12,12.857645184136183,1.0,0.031382044,0.0,171.3764,OUT027,1985,1.0,2.0,3.0,3091.9752
FDG20,15.5,1.0,0.12639886,6.0,177.0028,OUT017,2007,1.0,1.0,1.0,2479.4392
FDZ55,6.055,0.0,0.025403898,6.0,160.992,OUT035,2004,2.0,1.0,1.0,2716.464
FDQ49,12.857645184136183,1.0,0.039057677,2.0,155.963,OUT027,1985,1.0,2.0,3.0,3285.723
FDN33,6.305,1.0,0.123115764,13.0,95.6436,OUT046,1997,2.0,0.0,1.0,661.8052
FDN27,20.85,0.0,0.039624006,10.0,117.2808,OUT049,1999,1.0,0.0,1.0,1523.3504
FDW20,20.75,0.0,0.040421193,6.0,122.173,OUT010,1998,1.0,2.0,0.0,369.519
DRG27,8.895,0.0,0.105274111,4.0,39.9138,OUT049,1999,1.0,0.0,1.0,690.4346
DRI25,19.6,0.0,0.033970195,14.0,55.1614,OUT045,2002,1.0,1.0,1.0,1381.535
FDA44,19.7,0.0,0.053212652,6.0,57.893,OUT035,2004,2.0,1.0,1.0,622.523
NCR17,9.8,0.0,0.024378706,8.0,114.5492,OUT035,2004,2.0,1.0,1.0,1274.3412
FDU04,12.857645184136183,0.0,0.009714595,5.0,120.0414,OUT019,1985,2.0,0.0,0.0,487.3656
FDF41,12.15,0.0,0.131383762,5.0,246.046,OUT049,1999,1.0,0.0,1.0,1231.73
FDB56,8.75,1.0,0.07461309,6.0,187.4556,OUT035,2004,2.0,1.0,1.0,3755.112
NCP18,12.857645184136183,0.0,0.028459761,9.0,149.9708,OUT027,1985,1.0,2.0,3.0,4363.6532
FDB56,8.75,1.0,0.074627201,6.0,187.8556,OUT046,1997,2.0,0.0,1.0,1314.2892
FDT28,13.3,0.0,0.063695084,5.0,151.0708,OUT045,2002,1.0,1.0,1.0,1805.6496
FDD10,12.857645184136183,1.0,0.045797829,13.0,178.5344,OUT027,1985,1.0,2.0,3.0,2854.9504
FDW57,8.31,1.0,0.115857223,13.0,179.1028,OUT049,1999,1.0,0.0,1.0,3896.2616
DRB48,16.75,1.0,0.024832806,14.0,38.7822,OUT013,1987,0.0,2.0,1.0,667.7974
FDP09,19.75,0.0,0.034027909,13.0,212.0902,OUT018,2009,1.0,2.0,2.0,3185.853
FDH14,17.1,1.0,0.0467696,3.0,141.1838,OUT013,1987,0.0,2.0,1.0,2247.7408
FDA47,10.5,1.0,0.116576702,0.0,163.121,OUT013,1987,0.0,2.0,1.0,1794.331
FDG12,6.635,1.0,0.0,0.0,121.3098,OUT045,2002,1.0,1.0,1.0,2530.7058
DRE60,12.857645184136183,0.0,0.278974075,14.0,225.372,OUT019,1985,2.0,0.0,0.0,679.116
DRK49,14.15,0.0,0.035913805,14.0,41.4138,OUT013,1987,0.0,2.0,1.0,812.276
FDD03,13.3,0.0,0.079806266,4.0,232.53,OUT046,1997,2.0,0.0,1.0,699.09
FDS52,8.89,0.0,0.005505481,5.0,102.4016,OUT017,2007,1.0,1.0,1.0,2732.4432
FDW39,12.857645184136183,1.0,0.064625342,10.0,176.937,OUT019,1985,2.0,0.0,0.0,176.437
FDX34,12.857645184136183,0.0,0.071636937,13.0,121.7098,OUT027,1985,1.0,2.0,3.0,4097.3332
FDV11,9.1,1.0,0.0,1.0,173.2054,OUT045,2002,1.0,1.0,1.0,3151.8972
FDD17,7.5,0.0,0.032677678,5.0,239.0906,OUT049,1999,1.0,0.0,1.0,5942.265
FDZ16,16.85,1.0,0.160760054,5.0,192.4478,OUT017,2007,1.0,1.0,1.0,4843.695
FDZ46,7.485,0.0,0.06911065,13.0,109.0228,OUT035,2004,2.0,1.0,1.0,2542.0244
DRA12,11.6,0.0,0.041177505,14.0,140.3154,OUT017,2007,1.0,1.0,1.0,2552.6772
FDY58,11.65,0.0,0.040081193,13.0,227.0694,OUT018,2009,1.0,2.0,2.0,1141.847
NCF19,13.0,0.0,0.035307322,9.0,47.5034,OUT017,2007,1.0,1.0,1.0,680.4476
DRJ13,12.65,0.0,0.063017847,14.0,159.0578,OUT045,2002,1.0,1.0,1.0,2085.9514
FDB14,20.25,1.0,0.171938781,3.0,92.512,OUT010,1998,1.0,2.0,0.0,186.424
FDJ38,8.6,1.0,0.040197932,3.0,190.153,OUT035,2004,2.0,1.0,1.0,3036.048
FDW11,12.6,0.0,0.049058014,1.0,62.7194,OUT017,2007,1.0,1.0,1.0,866.8716
FDL40,17.7,0.0,0.01161096,5.0,95.041,OUT035,2004,2.0,1.0,1.0,868.869
DRI49,14.15,0.0,0.183507295,14.0,82.4276,OUT046,1997,2.0,0.0,1.0,1137.1864
FDV38,19.25,0.0,0.102349519,4.0,52.7956,OUT017,2007,1.0,1.0,1.0,928.1252
DRG23,8.88,0.0,0.086708987,7.0,151.7682,OUT013,1987,0.0,2.0,1.0,762.341
NCP30,20.5,0.0,0.032835147,9.0,40.2822,OUT045,2002,1.0,1.0,1.0,707.0796
FDY25,12.857645184136183,0.0,0.033809913,3.0,180.5976,OUT027,1985,1.0,2.0,3.0,7968.2944
NCH54,13.5,0.0,0.07266912,9.0,160.292,OUT046,1997,2.0,0.0,1.0,1438.128
NCR53,12.857645184136183,0.0,0.144338493,8.0,224.4404,OUT027,1985,1.0,2.0,3.0,6976.2524
FDS52,8.89,0.0,0.009163216,5.0,101.7016,OUT010,1998,1.0,2.0,0.0,101.2016
FDG02,7.855,0.0,0.011307038,3.0,188.5188,OUT018,2009,1.0,2.0,2.0,952.094
NCO26,7.235,0.0,0.076855628,9.0,116.0492,OUT046,1997,2.0,0.0,1.0,1969.4364
FDH35,12.857645184136183,0.0,0.059956876,15.0,165.4526,OUT027,1985,1.0,2.0,3.0,5262.4832
FDB51,6.92,0.0,0.038532062,4.0,60.5852,OUT045,2002,1.0,1.0,1.0,1314.2892
FDX44,9.3,0.0,0.043209581,6.0,90.8172,OUT017,2007,1.0,1.0,1.0,535.3032
NCN07,18.5,0.0,0.056816465,11.0,132.1284,OUT010,1998,1.0,2.0,0.0,263.6568
NCC31,8.02,0.0,0.019866705,9.0,154.5972,OUT035,2004,2.0,1.0,1.0,1402.1748
NCX54,9.195,0.0,0.048331717,9.0,105.1622,OUT017,2007,1.0,1.0,1.0,1693.7952
NCO55,12.8,0.0,0.091221855,11.0,105.5938,OUT045,2002,1.0,1.0,1.0,2143.876
NCC30,16.6,0.0,0.027622076,9.0,177.6344,OUT049,1999,1.0,0.0,1.0,2676.516
FDI16,14.0,1.0,0.0,5.0,53.064,OUT035,2004,2.0,1.0,1.0,905.488
FDP16,18.6,0.0,0.039355947,5.0,246.3802,OUT049,1999,1.0,0.0,1.0,7370.406
FDB11,16.0,0.0,0.060836524,15.0,226.8404,OUT035,2004,2.0,1.0,1.0,6301.1312
NCB06,17.6,0.0,0.082316506,8.0,160.692,OUT035,2004,2.0,1.0,1.0,1597.92
FDA45,21.25,0.0,0.155350299,13.0,178.237,OUT035,2004,2.0,1.0,1.0,529.311
NCO26,7.235,0.0,0.076841095,9.0,117.5492,OUT035,2004,2.0,1.0,1.0,1969.4364
DRJ25,14.6,0.0,0.151419185,14.0,50.3692,OUT017,2007,1.0,1.0,1.0,1034.6532
FDR28,13.85,1.0,0.026001976,5.0,161.521,OUT018,2009,1.0,2.0,2.0,1794.331
FDI04,13.65,1.0,0.073209447,5.0,197.6426,OUT018,2009,1.0,2.0,2.0,2768.3964
DRK12,12.857645184136183,0.0,0.041683481,14.0,31.29,OUT027,1985,1.0,2.0,3.0,898.83
FDX20,7.365,0.0,0.042560252,6.0,226.172,OUT046,1997,2.0,0.0,1.0,3169.208
NCI18,18.35,0.0,0.014081156,9.0,223.5746,OUT018,2009,1.0,2.0,2.0,3589.9936
FDB36,5.465,1.0,0.0,0.0,132.5626,OUT018,2009,1.0,2.0,2.0,262.3252
FDN13,18.6,0.0,0.152918384,2.0,99.8358,OUT017,2007,1.0,1.0,1.0,1910.1802
DRD24,13.85,0.0,0.030969274,14.0,140.9154,OUT017,2007,1.0,1.0,1.0,1701.7848
FDQ28,14.0,1.0,0.060376776,5.0,154.5656,OUT013,1987,0.0,2.0,1.0,2471.4496
FDM22,14.0,1.0,0.04192285,13.0,54.764,OUT013,1987,0.0,2.0,1.0,1331.6
FDR07,12.857645184136183,0.0,0.077367431,6.0,97.0094,OUT027,1985,1.0,2.0,3.0,1808.9786
FDV25,5.905,0.0,0.045838211,3.0,222.5456,OUT018,2009,1.0,2.0,2.0,3315.684
DRF49,7.27,0.0,0.071077939,14.0,114.2518,OUT046,1997,2.0,0.0,1.0,2618.5914
FDW51,6.155,1.0,0.094659871,10.0,214.556,OUT046,1997,2.0,0.0,1.0,2769.728
DRL01,19.5,1.0,0.077608838,14.0,233.4958,OUT017,2007,1.0,1.0,1.0,5375.0034
FDP25,15.2,0.0,0.021327477,3.0,216.8824,OUT017,2007,1.0,1.0,1.0,2838.9712
FDL50,12.15,1.0,0.042485444,3.0,125.0046,OUT018,2009,1.0,2.0,2.0,1743.0644
NCB30,12.857645184136183,0.0,0.025578526,9.0,198.8084,OUT027,1985,1.0,2.0,3.0,5555.4352
FDW11,12.6,0.0,0.0489808,1.0,61.9194,OUT018,2009,1.0,2.0,2.0,619.194
NCM43,14.5,0.0,0.019471688,11.0,164.821,OUT035,2004,2.0,1.0,1.0,2120.573
FDK44,16.6,0.0,0.122918852,6.0,173.0738,OUT017,2007,1.0,1.0,1.0,3823.0236
FDM15,11.8,1.0,0.057373797,10.0,151.4366,OUT013,1987,0.0,2.0,1.0,1360.2294
FDS31,13.1,1.0,0.044155597,6.0,178.8318,OUT013,1987,0.0,2.0,1.0,3969.4996
FDI32,17.7,0.0,0.291865402,6.0,115.1834,OUT010,1998,1.0,2.0,0.0,345.5502
FDR47,17.85,0.0,0.0,1.0,196.5794,OUT010,1998,1.0,2.0,0.0,585.2382
FDB35,12.3,1.0,0.064750025,15.0,92.6804,OUT045,2002,1.0,1.0,1.0,1010.6844
NCU05,11.8,0.0,0.098312421,8.0,81.4618,OUT010,1998,1.0,2.0,0.0,161.1236
DRY23,12.857645184136183,1.0,0.191013663,14.0,42.1112,OUT019,1985,2.0,0.0,0.0,42.6112
FDO24,11.1,0.0,0.176573035,0.0,157.4604,OUT045,2002,1.0,1.0,1.0,3010.7476
FDQ28,12.857645184136183,1.0,0.060134441,5.0,153.0656,OUT027,1985,1.0,2.0,3.0,6024.1584
FDV39,11.3,0.0,0.007294652,10.0,198.1426,OUT045,2002,1.0,1.0,1.0,988.713
NCO17,12.857645184136183,0.0,0.128478462,8.0,117.944,OUT019,1985,2.0,0.0,0.0,239.688
FDU50,5.75,1.0,0.075107656,4.0,112.8176,OUT013,1987,0.0,2.0,1.0,1374.2112
FDT12,12.857645184136183,1.0,0.049381406,0.0,226.8062,OUT027,1985,1.0,2.0,3.0,4739.8302
FDK58,11.35,1.0,0.045165796,13.0,100.0016,OUT018,2009,1.0,2.0,2.0,1012.016
FDO08,12.857645184136183,1.0,0.09415375,6.0,165.7526,OUT019,1985,2.0,0.0,0.0,657.8104
NCW29,14.0,0.0,0.028907832,8.0,130.431,OUT049,1999,1.0,0.0,1.0,778.986
FDE04,19.75,1.0,0.018059621,5.0,179.766,OUT045,2002,1.0,1.0,1.0,2336.958
NCB19,6.525,0.0,0.090436094,9.0,85.0882,OUT049,1999,1.0,0.0,1.0,2233.0932
FDV15,10.3,0.0,0.146399712,10.0,103.9648,OUT049,1999,1.0,0.0,1.0,1661.8368
FDL58,5.78,1.0,0.074264356,13.0,264.7568,OUT049,1999,1.0,0.0,1.0,4745.8224
FDA08,11.85,1.0,0.050186726,6.0,164.1526,OUT045,2002,1.0,1.0,1.0,3124.5994
FDT43,16.35,0.0,0.020631654,6.0,50.1324,OUT018,2009,1.0,2.0,2.0,467.3916
NCX06,12.857645184136183,0.0,0.01561108,9.0,182.5976,OUT027,1985,1.0,2.0,3.0,5070.7328
FDT20,10.5,0.0,0.041395445,6.0,37.6164,OUT046,1997,2.0,0.0,1.0,540.6296
FDB41,19.0,1.0,0.097313129,5.0,48.0718,OUT046,1997,2.0,0.0,1.0,992.7078
NCN55,14.6,0.0,0.059582996,11.0,238.8538,OUT049,1999,1.0,0.0,1.0,6008.845
FDE40,12.857645184136183,1.0,0.098663652,4.0,62.9194,OUT027,1985,1.0,2.0,3.0,2105.2596
FDX49,12.857645184136183,1.0,0.101338651,3.0,232.63,OUT027,1985,1.0,2.0,3.0,5359.69
NCM53,18.75,0.0,0.052146456,8.0,104.628,OUT045,2002,1.0,1.0,1.0,745.696
FDE36,5.26,1.0,0.041764487,0.0,161.8868,OUT035,2004,2.0,1.0,1.0,3275.736
FDN57,18.25,0.0,0.054344186,13.0,140.2154,OUT045,2002,1.0,1.0,1.0,1701.7848
FDI24,12.857645184136183,0.0,0.078362484,0.0,177.937,OUT027,1985,1.0,2.0,3.0,6704.606
FDI19,15.1,0.0,0.052339069,10.0,242.7512,OUT046,1997,2.0,0.0,1.0,4119.9704
FDF24,15.5,1.0,0.042464962,0.0,81.5934,OUT010,1998,1.0,2.0,0.0,327.5736
FDG52,13.65,0.0,0.065732883,5.0,45.7402,OUT049,1999,1.0,0.0,1.0,780.9834
DRF36,16.1,0.0,0.023625114,14.0,189.3846,OUT045,2002,1.0,1.0,1.0,3630.6074
FDS45,12.857645184136183,1.0,0.051643608,13.0,107.3622,OUT019,1985,2.0,0.0,0.0,317.5866
FDX40,12.85,0.0,0.165694219,5.0,39.7164,OUT010,1998,1.0,2.0,0.0,231.6984
DRK12,9.5,0.0,0.041878397,14.0,32.99,OUT035,2004,2.0,1.0,1.0,133.16
DRC27,13.8,0.0,0.058091482,4.0,245.1802,OUT035,2004,2.0,1.0,1.0,5650.6446
FDL58,5.78,1.0,0.0,13.0,263.7568,OUT017,2007,1.0,1.0,1.0,2636.568
NCD30,19.7,0.0,0.026903714,9.0,96.0726,OUT045,2002,1.0,1.0,1.0,1272.3438
NCZ54,14.65,0.0,0.0,9.0,161.5552,OUT010,1998,1.0,2.0,0.0,324.9104
FDE10,6.67,1.0,0.150554711,13.0,130.0626,OUT010,1998,1.0,2.0,0.0,131.1626
FDR44,6.11,1.0,0.0,6.0,131.2968,OUT010,1998,1.0,2.0,0.0,260.9936
FDP28,13.65,1.0,0.134975628,5.0,260.0936,OUT010,1998,1.0,2.0,0.0,260.9936
FDX15,17.2,0.0,0.15616879,10.0,160.6578,OUT013,1987,0.0,2.0,1.0,3690.5294
FDA39,6.32,0.0,0.0,10.0,40.2822,OUT035,2004,2.0,1.0,1.0,1139.1838
FDY24,4.88,1.0,0.133700752,0.0,52.9298,OUT049,1999,1.0,0.0,1.0,1995.4026
FDC60,5.425,1.0,0.115119905,0.0,88.3514,OUT017,2007,1.0,1.0,1.0,1416.8224
FDH28,15.85,1.0,0.110030997,5.0,37.2506,OUT046,1997,2.0,0.0,1.0,265.6542
FDT25,7.5,0.0,0.051038045,3.0,121.7072,OUT017,2007,1.0,1.0,1.0,3552.7088
DRJ13,12.65,0.0,0.062837968,14.0,161.5578,OUT013,1987,0.0,2.0,1.0,2406.867
NCO07,12.857645184136183,0.0,0.017116983,11.0,211.956,OUT019,1985,2.0,0.0,0.0,213.056
FDW20,20.75,0.0,0.024129332,6.0,124.173,OUT013,1987,0.0,2.0,1.0,2956.152
DRF27,12.857645184136183,0.0,0.049754975,4.0,152.134,OUT019,1985,2.0,0.0,0.0,153.134
FDS49,9.0,0.0,0.0,3.0,79.7644,OUT035,2004,2.0,1.0,1.0,1649.8524
FDX25,12.857645184136183,0.0,0.101561568,3.0,181.9292,OUT027,1985,1.0,2.0,3.0,3101.2964
NCX42,12.857645184136183,0.0,0.005949644,9.0,165.6526,OUT027,1985,1.0,2.0,3.0,4769.1254
FDG33,12.857645184136183,1.0,0.13956116,12.0,170.4764,OUT027,1985,1.0,2.0,3.0,3435.528
FDL56,14.1,0.0,0.126035694,6.0,86.4198,OUT045,2002,1.0,1.0,1.0,1133.8574
FDF14,7.55,0.0,0.027164679,3.0,152.334,OUT035,2004,2.0,1.0,1.0,2603.278
NCD06,13.0,0.0,0.099325278,9.0,45.406,OUT046,1997,2.0,0.0,1.0,605.878
DRM47,12.857645184136183,0.0,0.04357366,7.0,192.8846,OUT027,1985,1.0,2.0,3.0,2293.0152
FDS46,12.857645184136183,1.0,0.082741482,13.0,118.7782,OUT019,1985,2.0,0.0,0.0,119.1782
FDB35,12.3,1.0,0.064565202,15.0,92.9804,OUT013,1987,0.0,2.0,1.0,1929.4884
FDX21,12.857645184136183,0.0,0.084554569,13.0,109.8912,OUT027,1985,1.0,2.0,3.0,2074.6328
NCU05,12.857645184136183,0.0,0.058451805,8.0,79.9618,OUT027,1985,1.0,2.0,3.0,241.6854
NCR38,17.25,0.0,0.113748685,9.0,251.3724,OUT045,2002,1.0,1.0,1.0,6795.1548
NCR18,15.85,0.0,0.020603511,9.0,42.7112,OUT017,2007,1.0,1.0,1.0,639.168
NCU41,18.85,0.0,0.052044976,8.0,192.1846,OUT035,2004,2.0,1.0,1.0,3248.4382
FDY56,16.35,1.0,0.062764429,6.0,227.6062,OUT017,2007,1.0,1.0,1.0,7222.5984
DRJ51,14.1,0.0,0.087977262,4.0,229.0668,OUT035,2004,2.0,1.0,1.0,3225.1352
FDK21,7.905,0.0,0.010010425,13.0,249.0408,OUT035,2004,2.0,1.0,1.0,3755.112
FDY25,12.0,0.0,0.033946163,3.0,179.3976,OUT013,1987,0.0,2.0,1.0,3440.8544
FDU44,12.15,1.0,0.058414678,6.0,163.4552,OUT035,2004,2.0,1.0,1.0,974.7312
FDL43,10.1,0.0,0.027106459,10.0,75.367,OUT049,1999,1.0,0.0,1.0,535.969
FDF05,17.5,0.0,0.027022883,5.0,262.491,OUT017,2007,1.0,1.0,1.0,5259.82
DRF15,12.857645184136183,0.0,0.058153409,4.0,152.034,OUT019,1985,2.0,0.0,0.0,306.268
FDL20,17.1,0.0,0.128937661,6.0,112.3886,OUT018,2009,1.0,2.0,2.0,1779.0176
FDV32,7.785,0.0,0.088846306,6.0,61.451,OUT049,1999,1.0,0.0,1.0,759.012
FDJ34,11.8,1.0,0.09357779,13.0,125.9704,OUT013,1987,0.0,2.0,1.0,1877.556
FDG08,13.15,1.0,0.165694678,6.0,171.8764,OUT045,2002,1.0,1.0,1.0,3779.0808
FDQ04,12.857645184136183,0.0,0.148392623,5.0,41.5796,OUT019,1985,2.0,0.0,0.0,41.2796
